terrain,inc_time_d,compound,peak_nr,is_ref,rt_start,rt,rt_end,amp2,amp3,bgrd2_start,bgrd3_start,bgrd2_end,bgrd3_end,area2,area3,r3/2,rd3/2,d3/2,d2H,at2H,n_overlapping,n_matches,f_label,at2H_mn_zero,d2H_mn_zero,area2_mn_zero,No.,rt_FID,area_FID,height_FID,rel_area_FID,rel_height_FID,amount_FID,at2H_weighted,a,t0,f_start,d_t,f_t,u_d,gen_d,chain_fctr,chain_num,u_d_weighted,gen_d_weighted
Gordon Gulch Conifer Forest,0,16:0,26.666666666666668,0,2082.40633333333,2109.5763333333334,2125.25133333333,1369.82282110581,381.370425953556,301.488818008944,105.524171967811,301.488818008944,105.524171967811,18144.9488640285,5795.57254690363,0.31944425120701,198.968016040052,-76.7946276491597,-76.7946276491597,0.0143768563889012,1,1,0.5,0.0143768563889012,-76.7946276491597,18144.9488640285,6.333333333333333,14.543333333333333,1.2672008891666635,36.86363260112259,2.2843598616150196,3.7810543945789266,NA,0.0140208234613379,0.5,0,0.0143768563889012,0,0.0143768563889012,NA,NA,C16,16,0,0
Gordon Gulch Conifer Forest,0,16:1 cis,24.666666666666668,0,2026.673,2041.0243333333333,2053.49466666667,758.518008316356,204.710317814937,319.86608033592,114.330791442194,319.86608033592,114.330791442194,7663.61589204144,2381.7609157057,0.31046726700425403,165.286646128668,-102.729282480926,-102.729282480926,0.0139730386424979,1,1,0.5,0.0139730386424979,-102.729282480926,7663.61589204144,NA,NA,NA,NA,NA,NA,NA,0.0140208234613379,0.5,0,0.0139730386424979,0,0.0139730386424979,NA,NA,C16,16,0,0
Gordon Gulch Conifer Forest,0,16:1 trans,25.666666666666668,0,2053.70366666667,2063.1783333333333,2077.042,359.694248181323,101.27228332821,294.143092974603,102.493820442102,294.143092974603,102.493820442102,3018.14319069836,943.524867107706,0.3129009232420207,174.42136596019,-95.6955482106535,-95.6955482106535,0.0140825583173204,1,1,0.5,0.0140825583173204,-95.6955482106535,3018.14319069836,NA,NA,NA,NA,NA,NA,NA,0.0140208234613379,0.5,0,0.0140825583173204,0,0.0140825583173204,NA,NA,C16,16,0,0
Gordon Gulch Conifer Forest,0,17:0 cyclo,33.333333333333336,0,2304.016,2320.109,2328.26,671.357925645971,166.697026122895,325.406373157801,114.323177184492,325.406373157801,114.323177184492,5844.94133756643,1689.98064745974,0.28721967911018703,77.9894233583787,-169.948144014048,-169.948144014048,0.0129263855486887,1,1,0.5,0.0129263855486887,-169.948144014048,5844.94133756643,8.666666666666666,15.979444444444445,0.38111315999999934,11.426465712396782,0.6837123592839975,1.167214105254297,NA,0.0140208234613379,0.5,0,0.0129263855486887,0,0.0129263855486887,NA,NA,C17,17,0,0
Gordon Gulch Conifer Forest,0,18:0,48.25,0,2606.70024755859,2647.5597353515627,2665.01124804688,1735.57732975235,522.521532958448,349.960410278672,119.64354770123,349.960410278672,119.64354770123,71619.9858524692,19798.0310631071,0.30887662907750774,159.879832920209,-106.892528651439,-106.892528651439,0.0139082052683381,1.5,1.25,0.5,0.0143565560300064,-78.0983991664775,9210.39825887059,13.25,17.962916666666665,0.6005066572916667,15.856755177364873,1.09220305428119,1.6416120420938953,NA,0.0140208234613379,0.5,0,0.0143565560300064,0,0.0139082052683381,NA,NA,C18,18,0,0
Gordon Gulch Conifer Forest,0,18:1 cis,54.2,0,2530.90638203125,2562.590790234375,2571.15981328125,1239.30445936231,356.386677444867,502.410454120408,170.855338311475,502.410454120408,170.855338311475,28227.6077292656,8613.66585431396,0.3067673083398284,151.704301394191,-113.187687926473,-113.187687926473,0.0138101937869734,1.8,1.6,0.5,0.0136459164806039,-123.738115884007,13712.0600537114,NA,NA,NA,NA,NA,NA,NA,0.0140208234613379,0.5,0,0.0136459164806039,0,0.0138101937869734,NA,NA,C18,18,0,0
Gordon Gulch Conifer Forest,0,18:1 trans,38,0,2533.707,2576.134,2584.21533333333,1506.61260218001,418.613371972291,498.846725398142,174.49810961893,498.846725398142,174.49810961893,35917.6124461276,10900.7851972299,0.30466375908629284,143.437086199067,-119.553443626718,-119.553443626718,0.0137110747698315,1,2,0.5,0.0138826966888311,-108.531348372266,15945.4333417767,NA,NA,NA,NA,NA,NA,NA,0.0140208234613379,0.5,0,0.0138826966888311,0,0.0137110747698315,NA,NA,C18,18,0,0
Gordon Gulch Conifer Forest,0,18:2,49,0,2507.6342578125,2539.2977529296877,2549.32973681641,914.110362665964,257.955531283873,272.449872859282,96.1369439327856,272.449872859282,96.1369439327856,21018.8426265514,6348.78667666592,0.3017182146498901,132.204504416947,-128.202531598951,-128.202531598951,0.0135764021178545,1.5,1.5,0.5,0.0135716440031417,-128.508110721507,8064.72345813605,NA,NA,NA,NA,NA,NA,NA,0.0140208234613379,0.5,0,0.0135716440031417,0,0.0135764021178545,NA,NA,C18,18,0,0
Gordon Gulch Conifer Forest,0,a-15:0,18.333333333333332,0,1740.90033333333,1755.5303333333334,1760.825,490.618131008368,127.809833227118,295.758803824023,102.292669496792,295.758803824023,102.292669496792,3676.75688860711,1078.48741992145,0.2957999144863744,110.226174557987,-145.12584559035,-145.12584559035,0.013312885514746,1,1,0.5,0.013312885514746,-145.12584559035,3676.75688860711,2.6666666666666665,12.368333333333332,0.26059565194444523,8.858207761787462,0.4726942897525463,0.9109537242166658,NA,0.0140208234613379,0.5,0,0.013312885514746,0,0.013312885514746,NA,NA,C15,15,0,0
Gordon Gulch Conifer Forest,0,i-15:0,17.333333333333332,0,1723.414,1733.7246666666667,1740.27333333333,428.160011220572,126.398888805256,263.926323457666,97.0445612293913,263.926323457666,97.0445612293913,2808.48925002031,928.800617585282,0.3305938559749365,240.853370475435,-44.5429047339153,-44.5429047339153,0.0148790289965087,1,1,0.5,0.0148790289965087,-44.5429047339153,2808.48925002031,1.6666666666666667,12.238333333333333,0.2537978077777784,8.486038474329067,0.4574819682856852,0.8697888064668956,NA,0.0140208234613379,0.5,0,0.0148790289965087,0,0.0148790289965087,NA,NA,C15,15,0,0
