file_id,Analysis,compound,peak_info,peak_nr,is_ref,rt_start,rt,rt_end,amp2,amp3,bgrd2_start,bgrd3_start,bgrd2_end,bgrd3_end,area2,area3,r3/2,rd3/2,d3/2,d2H,at2H,sample_id,n_overlapping,n_matches,is_identified,is_missing,is_ambiguous,inc_time_d,inc_time_d_str,f_label,t_series_id,soil_id,replicate_id,terrain,at2H_mn_zero,d2H_mn_zero,area2_mn_zero,file,No.,rt_FID,area_FID,height_FID,rel_area_FID,rel_height_FID,amount_FID,chain,a,t0,f_start,d_t,f_t,u_d,gen_d,chain_fctr,chain_num
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,18:1 trans,18:1 trans (2528),31,0,2511.344,2528.273,2539.141,981.344848136177,245.088810571107,342.92590643141,119.958370819927,342.92590643141,119.958370819927,11353.1749839316,3306.18311273424,0.291212204287661,88.2048083613762,-162.08229756174,-162.08229756174,0.0130488652644132,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.012979865758869,-166.513573093026,17275.6915219693,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.012979865758869,0,0.0130488652644132,NA,NA,C18,18
BF10899__t0f0x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10899,18:0,18:0 (2575),32,0,2563.803,2575.2980000000002,2581.986,321.115208600506,92.0192009339246,248.799823071614,88.6289283235848,248.799823071614,88.6289283235848,2089.02012566074,680.98407259832,0.32598253326206295,218.139843462726,-62.0323205337011,-62.0323205337011,0.0146067127354297,t0f0x,1,1,TRUE,FALSE,FALSE,0,0 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0148571379406509,-45.9489064895411,3621.04516356092,FID0165_t0f0x_100ul-nhex.xls,20,18.01,4.335632164166686,102.38744016666666,2.6444442586945076,3.147079991556868,NA,C18,0.5,0,0.0148571379406509,0,0.0146067127354297,NA,NA,C18,18
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,i-15:0,i-15:0 (1700),18,0,1687.675,1700.006,1706.276,540.160315069674,453.443810738895,226.591731729365,88.8175209209011,226.591731729365,88.8175209209011,3889.68296725439,3826.1947871222,0.9836778008216427,2674.20038826409,1829.13429896335,1829.13429896335,0.0440443591027118,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0146749677396367,-57.6486668793579,5235.65050049662,FID0168_t0f3x_100ul-nhex.xls,3,12.266666666666667,5.196431882500016,141.5737587638889,3.776796565654059,5.15098732405359,NA,C15,0.5,0,0.0146749677396367,3,0.0440443591027118,0.04443562145676959,15.598908214534426,C15,15
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,a-15:0,a-15:0 (1720),19,0,1706.903,1720.279,1726.967,452.320105313884,230.749342311005,260.494345164305,107.883896559615,260.494345164305,107.883896559615,2885.92991240279,1681.88379755992,0.5827874718411308,1176.80459057534,676.139534743011,676.139534743011,0.0260990598661333,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0141879614694216,-88.9260831848606,4073.44261012497,FID0168_t0f3x_100ul-nhex.xls,4,12.395,4.12714704833334,120.39191708,2.9996342010347905,4.3803120310723065,NA,C15,0.5,0,0.0141879614694216,3,0.0260990598661333,0.01727710609744959,40.11940290522764,C15,15
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,i-16:0,i-16:0 (1960),21,0,1950.806,1960.002,1967.317,247.652110882288,152.08223781825,239.966587075759,92.5255029078081,239.966587075759,92.5255029078081,1620.57119663103,1064.66040678491,0.6569661419369991,1453.8249884013,889.445241069,889.445241069,0.0294194520410506,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0144299200803822,-73.3866285742175,2945.06646808428,FID0168_t0f3x_100ul-nhex.xls,8,13.93,2.039147487500003,53.986384602941186,1.4820641166466964,1.9642282947718304,NA,C16,0.5,0,0.0144299200803822,3,0.0294194520410506,0.021915174472273986,31.6286407592548,C16,16
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,16:1 cis,16:1 cis (2003),22,0,1988.426,2003.265,2015.178,676.610449731599,324.248112346288,256.552978730707,104.131938219284,256.552978730707,104.131938219284,6377.01655063979,3620.92800098585,0.567809095716173,1120.80814527683,633.022271863159,633.022271863159,0.0254278544819115,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0135800168738151,-127.970353710304,8893.48285353113,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.0135800168738151,3,0.0254278544819115,0.017137598836905125,40.445991714269844,C16,16
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,16:1 trans,16:1 trans (2026),23,0,2015.805,2025.628,2034.824,351.331103163144,155.231688099831,255.024919635605,101.497738902319,255.024919635605,101.497738902319,2573.13960116473,1232.06422176166,0.4788174808719936,788.414691640381,377.079312563094,377.079312563094,0.0214434111081485,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0136578852745407,-122.969378748837,3327.5005761333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.0136578852745407,3,0.0214434111081485,0.011165520171414084,62.07925559388963,C16,16
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,16:0,16:0 (2071),24,0,2048.2,2070.563,2086.447,1182.36004415574,767.561308815116,240.494209554616,95.5264472866118,240.494209554616,95.5264472866118,14191.1919478732,11194.3014589722,0.7888203823957092,1946.28487106497,1268.63935072002,1268.63935072002,0.03532157734088,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0138716862868682,-109.238464567178,17645.9486401328,FID0168_t0f3x_100ul-nhex.xls,11,14.618333333333334,16.52069781083335,309.8334193214286,12.007338143754403,11.272908407796944,NA,C16,0.5,0,0.0138716862868682,3,0.03532157734088,0.03174471985688969,21.835038509861306,C16,16
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,i-17:0,i-17:0 (2223),27,0,2213.519,2222.924,2228.985,211.603123764677,229.707296338458,251.311935562607,98.4169368682052,251.311935562607,98.4169368682052,1212.04920905304,1515.96502543789,1.2507454434315344,3671.53976151822,2597.08561636903,2597.08561636903,0.0559932384823155,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.0156075566955635,2.24678918506598,1573.36271751772,FID0168_t0f3x_100ul-nhex.xls,14,15.635,1.6751126883333374,44.50243872413793,1.217481531834718,1.6191665726683806,NA,C17,0.5,0,0.0156075566955635,3,0.0559932384823155,0.06303460236032489,10.996296551498904,C17,17
BF10900__t0f3x_1_5ul_2_0Cpm ramp_30ul cHex.dxf,BF10900,17:0 cyclo,17:0 cyclo (2278),29,0,2267.023,2277.891,2287.505,386.586949977373,148.040906611333,266.265620946946,108.542661842802,266.265620946946,108.542661842802,2653.78513854215,1203.46742949964,0.4534909070147121,693.7828161338,304.212768423026,304.212768423026,0.0203089884802332,t0f3x,1,1,TRUE,FALSE,FALSE,3,3 Days,0.5,tx,t,x,Niwot Ridge Tundra,0.013453138602769,-136.118852869519,3637.97536235237,FID0168_t0f3x_100ul-nhex.xls,17,16.011666666666667,3.869062456666687,94.42353137864079,2.812056836124563,3.4354842131083845,NA,C17,0.5,0,0.013453138602769,3,0.0203089884802332,0.00980378540233097,70.70199439444494,C17,17
