#Exported for mctoolsr																								
#ASV_ID	Blank25	Blank29	CRCcr0	CRCcr0b	CRCcr0c	GGc0	GGc0b	GGc0c	GGm0	GGm0b	GGm0c	GGm3	GGm3b	GGm3c	MMg0	MMg0b	MMg0c	NRt0-diluted	NRt0	NRt0b-diluted	NRt0b	NRt0c-diluted	NRt0c	taxonomy
ASV_215	0	0	1786	408	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;NA;ASV_215
ASV_25	0	0	806	792	723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Segetibacter;ASV_25
ASV_265	0	0	0	0	0	0	0	0	82	97	82	857	551	610	0	0	0	0	0	0	0	0	0	Archaea;Thaumarchaeota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;NA;ASV_265
ASV_271	0	0	0	0	0	376	250	271	155	158	162	323	239	296	0	0	0	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_271
ASV_282	0	0	0	0	0	172	179	130	289	212	219	342	250	261	58	36	0	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_282
ASV_283	0	0	0	0	0	0	0	0	114	87	79	343	270	285	169	91	89	187	0	160	0	189	79	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_283
ASV_284	0	0	0	0	0	586	386	461	0	0	0	0	0	0	49	22	0	170	0	140	38	223	56	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Xiphinematobacteraceae;Candidatus_Xiphinematobacter;ASV_284
ASV_304	0	0	0	0	0	223	244	159	38	20	40	28	12	24	422	362	362	35	0	26	0	38	6	Bacteria;Planctomycetes;Phycisphaerae;Tepidisphaerales;WD2101_soil_group;NA;ASV_304
ASV_311	0	0	0	0	0	636	517	848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA;ASV_311
ASV_156	0	0	29	28	28	0	0	0	304	330	179	0	0	36	69	128	57	254	0	165	24	261	54	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Blastocatellales;Blastocatellaceae;NA;ASV_156
ASV_310	0	0	0	0	0	201	197	151	0	0	0	141	96	131	426	308	265	0	0	0	0	0	0	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;NA;ASV_310
ASV_330	0	0	0	0	0	156	123	79	68	57	45	44	24	43	32	20	0	392	0	307	18	458	20	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;A21b;NA;ASV_330
ASV_325	0	0	0	0	0	36	29	65	88	52	58	0	0	0	0	0	0	550	12	352	77	433	129	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_325
ASV_339	0	0	0	0	0	89	98	122	76	75	73	103	109	128	56	38	0	308	0	229	13	287	15	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;NA;ASV_339
ASV_298	0	0	0	0	0	0	0	0	233	211	149	0	0	0	468	389	361	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_298
ASV_343	0	0	0	0	0	352	306	362	65	98	67	146	94	113	0	0	0	55	0	65	0	59	16	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Pyrinomonadales;Pyrinomonadaceae;RB41;ASV_343
ASV_362	0	0	0	0	0	0	0	0	271	220	161	400	311	315	31	0	0	0	0	0	0	0	0	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_362
ASV_12	0	0	618	533	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Chloroflexi;Chloroflexia;Kallotenuales;AKIW781;NA;ASV_12
ASV_376	0	0	0	0	0	167	160	153	65	57	64	167	80	146	0	0	0	232	0	123	32	170	36	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Candidatus_Udaeobacter;ASV_376
ASV_49	0	0	139	208	230	14	0	0	69	52	60	0	0	0	41	25	25	270	0	209	11	250	38	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;ASV_49
ASV_56	0	0	254	404	537	0	0	0	0	0	0	0	0	0	0	0	58	131	0	109	0	82	52	Bacteria;Verrucomicrobia;Verrucomicrobiae;Chthoniobacterales;Chthoniobacteraceae;Chthoniobacter;ASV_56
ASV_390	0	0	0	0	0	532	452	318	0	0	0	0	0	0	0	0	0	102	0	72	11	113	0	Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia;ASV_390
ASV_278	0	0	0	0	0	59	68	52	69	46	38	0	0	0	526	380	358	0	0	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;ASV_278
ASV_394	0	0	0	0	0	177	116	76	103	93	84	139	92	166	0	0	0	179	0	159	0	169	28	Bacteria;Acidobacteria;Subgroup_6;NA;NA;NA;ASV_394
ASV_357	0	0	0	0	0	124	93	111	159	172	120	71	42	59	191	67	81	100	0	73	0	86	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Bradyrhizobium;ASV_357
ASV_96	0	0	0	40	0	106	92	81	83	113	48	48	58	64	259	181	135	69	0	83	0	86	0	Bacteria;Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;NA;ASV_96
ASV_28	0	0	602	140	801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Cyanobacteria;Oxyphotobacteria;Nostocales;Nostocaceae;NA;ASV_28
ASV_406	0	0	0	0	0	0	0	0	421	479	240	150	90	122	19	0	0	0	0	0	0	0	0	Bacteria;Acidobacteria;Blastocatellia_(Subgroup_4);Pyrinomonadales;Pyrinomonadaceae;RB41;ASV_406
