"","sample","file","No.","Peak Name","Retention Time","Area","Height","Relative Area","Relative Height","Amount","group","inc_time","site"
"32","cri0","FID0211_cri0_100ul-nhex.xls",22,"23:0 (STD)",25.985,6.69533531333334,98.5412151736527,5.8592142647239,4.83069029176121,NA,"C23",0,"intact biocrust"
"33","cri0","FID0211_cri0_100ul-nhex.xls",NA,"24:1 cis 15",NA,NA,NA,NA,NA,NA,"C24",0,"intact biocrust"
"34","cri0","FID0211_cri0_100ul-nhex.xls",23,"24:0",27.36,0.143848185000001,2.97886,0.125884260916431,0.146029760817921,NA,"C24",0,"intact biocrust"
"35","cri3","FID0212_cri3_100ul-nhex.xls",NA,"14:1 cis 9",NA,NA,NA,NA,NA,NA,"C14",3,"intact biocrust"
"36","cri3","FID0212_cri3_100ul-nhex.xls",1,"14:0",11.2383333333333,0.462120881666668,15.6158123255814,0.279585892705522,0.572935902459315,NA,"C14",3,"intact biocrust"
"37","cri3","FID0212_cri3_100ul-nhex.xls",2,"i-15:0",12.2633333333333,1.61720301166667,49.738461308642,0.978417478284445,1.82487786242933,NA,"C15",3,"intact biocrust"
"38","cri3","FID0212_cri3_100ul-nhex.xls",3,"a-15:0",12.395,1.776324755,53.9124902394366,1.07468708310788,1.97802077824412,NA,"C15",3,"intact biocrust"
"39","cri3","FID0212_cri3_100ul-nhex.xls",NA,"15:1 cis 10",NA,NA,NA,NA,NA,NA,"C15",3,"intact biocrust"
"40","cri3","FID0212_cri3_100ul-nhex.xls",4,"15:0",12.865,0.236267441666667,7.93676618918919,0.14294321294763,0.291195757505519,NA,"C15",3,"intact biocrust"
"41","cri3","FID0212_cri3_100ul-nhex.xls",5,"i-16:0",13.985,1.80182687083334,25.6217841486486,1.09011601545871,0.940049721254398,NA,"C16",3,"intact biocrust"
"42","cri3","FID0212_cri3_100ul-nhex.xls",7,"16:1 cis 9",14.2566666666667,15.4833731883334,292.661027428571,9.36753322927189,10.7375784473137,NA,"C16",3,"intact biocrust"
"43","cri3","FID0212_cri3_100ul-nhex.xls",9,"16:0",14.6633333333333,25.4463792666666,394.459146963964,15.3952113951994,14.4724976605222,NA,"C16",3,"intact biocrust"
"44","cri3","FID0212_cri3_100ul-nhex.xls",11,"i-17:0",15.6466666666667,0.40212108,12.6937297297297,0.243285654441826,0.465726236115391,NA,"C17",3,"intact biocrust"
"45","cri3","FID0212_cri3_100ul-nhex.xls",12,"17:1 cis 10",15.8566666666667,1.07187098,33.2762036956522,0.648488342979935,1.2208863296568,NA,"C17",3,"intact biocrust"
"46","cri3","FID0212_cri3_100ul-nhex.xls",NA,"17:0 cyclo",NA,NA,NA,NA,NA,NA,"C17",3,"intact biocrust"
"47","cri3","FID0212_cri3_100ul-nhex.xls",13,"17:0",16.2766666666667,0.237197811666667,7.63302145714285,0.143506092352816,0.280051523792672,NA,"C17",3,"intact biocrust"
"48","cri3","FID0212_cri3_100ul-nhex.xls",14,"18:3 cis 3, 9, 12",17.1166666666667,0.901757208333345,22.0463213333334,0.545568495382067,0.808867879919985,NA,"C18",3,"intact biocrust"
"49","cri3","FID0212_cri3_100ul-nhex.xls",15,"18:2 trans 9, 12",17.47,13.3571793933334,167.10766984,8.0811732879161,6.13109210276636,NA,"C18",3,"intact biocrust"
